Compound Name,Molecular Formula,SMILES,P（蛋白质）,对接分数,PDB id,选取链条,Select parameters
Poricoic acid AM,C32H48O5,CC(C)C(=C)CC[C@H]([C@H]1[C@@H](C[C@@]2([C@@]1(CC=C3C2=CC[C@H]([C@]3(C)CCC(=O)OC)C(=C)C)C)C)O)C(=O)O,CXCL8,-6.7335,6LFM ,R-C-X-C chemokine receptor type 2,5
Benzoic acid,C7H6O2,C1=CC=C(C=C1)C(=O)O,CXCL8,-5.5357,6LFM ,R-C-X-C chemokine receptor type 2,5
psoralen,C11H6O3,C1=CC(=O)OC2=CC3=C(C=CO3)C=C21,CXCL8,-6.0344,6LFM ,R-C-X-C chemokine receptor type 2,5
Astragalus D,C12H15NO5,,,,,,
Agroastragaloside Ⅳ,C49H80O20,,,,,,
Luteolin,C15H10O6,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,CXCL8,-6.7193,6LFM ,R-C-X-C chemokine receptor type 2,5
Luteolin,C15H10O6,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,,,,,
3-Methoxy-4-Hydroxybenzoic acid,C8H8O4,COC1=C(C=CC(=C1)C(=O)O)O,CXCL8,-5.9541,6LFM ,R-C-X-C chemokine receptor type 2,5
Limonin,C26H30O8,C[C@@]12CC[C@H]3[C@]([C@@]14[C@H](O4)C(=O)O[C@H]2C5=COC=C5)(C(=O)C[C@@H]6[C@@]37COC(=O)C[C@@H]7OC6(C)C)C,CXCL8,-7.2918,6LFM ,R-C-X-C chemokine receptor type 2,5
Isoquercitroside,C21H20O12,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@H](O4)[C@@H](CO)O)O)O)O)O,CXCL8,-7.7454,6LFM ,R-C-X-C chemokine receptor type 2,5
Diammonium glycyrrhizinate,C42H68N2O16,C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)O)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)O)O)O)O)C)(C)C(=O)O.N.N,CXCL8,-7.1458,6LFM ,R-C-X-C chemokine receptor type 2,5
